Temp (Ohm) (X58257),Temp (Ohm) (X53853),Temp (Ohm) (X53851),Temp (Ohm) (X53871)
2075.57,342.924,365.023,387.883
2075.57,343.042,365.023,387.993
2077.54,343.042,365.119,388.144
2079.3,343.161,365.119,388.144
2079.3,343.042,365.227,388.211
2081.46,343.265,365.337,388.211
2077.69,343.355,365.337,388.309
2082.84,343.355,365.48,388.414
2083.56,343.415,365.48,388.414
2083.56,343.494,365.598,388.553
2085.03,343.494,365.686,388.553
2085.84,343.586,365.686,388.672
2085.84,343.586,365.819,388.797
2086.46,343.662,365.678,388.797
2086.46,343.785,365.891,388.946
2087.87,343.785,365.941,388.714
2089.34,343.888,365.941,389.04
2089.34,343.888,365.998,389.105
2090.85,343.973,366.066,389.105
2090.85,344.049,366.066,389.157
2092.06,344.049,366.13,389.232
2093.24,344.109,366.13,389.232
2093.24,343.928,366.222,389.279
2094.3,344.154,366.298,389.279
2091.43,344.188,366.298,389.37
2094.82,344.188,366.416,389.449
2095.31,344.237,366.416,389.449
2095.31,344.303,366.506,389.547
2095.91,344.303,366.587,389.547
2097.03,344.379,366.587,389.662
2097.03,344.379,366.651,389.772
2097.75,344.453,366.665,389.772
2097.75,344.541,366.732,389.861
2099.0,344.541,366.778,389.64
2100.44,344.667,366.778,389.964
2100.44,344.667,366.811,390.024
2101.64,344.738,366.881,390.024
2101.64,344.806,366.881,390.052
2103.0,344.806,366.935,390.112
2103.76,344.832,366.935,390.112
2103.76,344.727,366.995,390.166
2104.34,344.879,367.04,390.166
2102.52,344.884,367.04,390.214
2104.29,344.884,367.163,390.279
2104.82,344.918,367.163,390.279
2104.82,344.964,367.215,390.362
2104.94,344.964,367.242,390.362
2105.44,345.006,367.242,390.448
2105.44,345.006,367.266,390.471
2105.96,345.074,367.247,390.471
2105.96,345.104,367.292,390.519
2107.12,345.104,367.31,390.381
2107.92,345.18,367.31,390.554
2107.92,345.18,367.347,390.598
2108.61,345.225,367.396,390.598
2108.61,345.26,367.396,390.593
2109.52,345.26,367.435,390.624
2109.75,345.259,367.435,390.624
2109.75,345.2,367.506,390.666
2109.7,345.267,367.562,390.666
2107.92,345.276,367.562,390.734
2109.55,345.276,367.595,390.816
2109.95,345.35,367.595,390.816
2109.95,345.38,367.633,390.864
2110.59,345.38,367.665,390.864
2111.52,345.445,367.665,390.939
2111.52,345.445,367.693,390.959
2112.46,345.514,367.707,390.959
2112.46,345.569,367.734,390.989
2113.71,345.569,367.754,390.51
2114.18,345.564,367.754,391.009
2114.18,345.564,367.825,391.014
2114.28,345.579,367.847,391.014
2114.28,345.578,367.847,391.055
2113.89,345.578,367.898,391.103
2113.98,345.587,367.898,391.103
2113.98,345.544,367.927,391.195
2114.18,345.672,367.943,391.195
2112.27,345.713,367.943,391.237
2114.98,345.713,367.942,391.249
2115.53,345.751,367.942,391.249
2115.53,345.788,367.967,391.261
2116.6,345.788,367.995,391.261
2116.6,345.802,367.995,391.254
2117.08,345.802,368.038,391.267
2117.33,345.821,367.916,391.267
2117.33,345.796,368.119,391.308
2117.17,345.796,368.128,390.88
2116.89,345.824,368.128,391.402
2116.89,345.824,368.174,391.424
2117.2,345.884,368.18,391.424
2117.2,345.896,368.18,391.47
2117.78,345.896,368.19,391.493
2118.86,345.978,368.19,391.488
2118.86,345.531,368.231,391.477
2119.35,345.99,368.238,391.477
2119.35,345.977,368.238,391.494
2119.65,345.977,368.276,391.51
2119.77,345.968,368.276,391.51
2119.77,346.011,368.348,391.568
2119.51,346.011,368.363,391.568
2120.64,346.032,368.363,391.638
2119.73,346.032,368.387,391.697
2120.1,346.097,367.903,391.697
2120.1,346.157,368.388,391.707
2120.73,346.157,368.405,391.707
2121.67,346.185,368.405,391.737
2121.67,346.185,368.431,391.72
2122.37,346.196,368.453,391.72
2122.37,346.183,368.453,391.747
2122.67,346.183,368.521,391.747
2122.27,346.192,368.521,391.805
2122.27,346.192,368.604,391.847
2122.35,346.24,368.627,391.847
2122.35,346.26,368.627,391.904
2122.64,346.26,368.646,391.934
2122.95,346.301,368.646,391.934
2122.95,346.288,368.665,391.977
2123.34,346.326,368.668,391.977
2124.35,346.386,368.668,392.01
2124.87,346.386,368.675,392.015
2125.05,346.428,368.193,392.015
2125.05,346.421,368.714,392.005
2125.77,346.421,368.747,392.005
2126.17,346.45,368.747,392.042
2126.17,346.45,368.794,392.063
2126.49,346.493,368.816,392.063
2126.49,346.481,368.816,392.119
2126.32,346.481,368.884,392.107
2126.22,346.493,368.884,392.205
2126.22,346.493,368.932,392.246
2126.33,346.543,368.937,392.246
2126.33,346.607,368.937,392.297
2127.18,346.607,368.931,392.305
2127.83,346.651,368.931,392.305
2127.83,346.654,368.951,392.309
2128.72,346.686,368.969,392.309
2127.92,346.693,368.969,392.323
2129.1,346.693,369.016,392.321
2129.39,346.687,368.428,392.321
2129.39,346.687,369.106,392.372
2129.27,346.687,369.111,392.372
